Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19022.810000000005,228273.72,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Web Server,Amazon EC2 ,0,1322.4,15868.80,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (t3.xlarge), Pricing strategy (Compute Savings Plans 1yr  No Upfront), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,0,1374.96,16499.52,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (m5a.xlarge), Pricing strategy (Compute Savings Plans 1yr  No Upfront), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Master,Amazon RDS for PostgreSQL,0,6491.955999999999,77903.47,USD,,"Storage amount (1 TB), Storage volume (General Purpose SSD (gp2)), Nodes (2), Instance Type (db.m6g.16xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),Read replica,Amazon RDS for PostgreSQL,0,6491.955999999999,77903.47,USD,,"Storage amount (1 TB), Storage volume (General Purpose SSD (gp2)), Nodes (2), Instance Type (db.m6g.16xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,365.5,4386.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (4), Number of Elastic Network Interfaces (4)"
My Estimate,US East (N. Virginia),,S3 Standard,0,280.52,3366.24,USD,,"S3 Standard storage (10 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (5000000), GET, SELECT, and all other requests from S3 Standard (50000000)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,455.2,5462.40,USD,,"Data transfer out to internet (5 TB per month), Number of requests (HTTPS) (20000000 per month)"
My Estimate,US East (N. Virginia),,VPN Connection,0,667,8004.00,USD,,"Working days per month (30), Number of Site-to-Site VPN Connections (), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,211.4,2536.80,USD,,"Number of Metrics (includes detailed and custom metrics) (200), Logs Delivered to CloudWatch Logs: Data Ingested (200 GB), Logs Delivered to S3: Data Ingested (200 GB), Expected Logs Data scanned (100 GB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,425.23,5102.76,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,673.43,8081.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (50 GB per hour), Average number of new TCP connections (300 per second), Average TCP connection duration (300 seconds), Processed bytes per NLB for UDP (50 GB per hour), Average number of new UDP Flows ( per second), Processed bytes per NLB for TLS (50 GB per hour)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,263.25,3159.00,USD,,Number of NAT Gateways (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Changes
- Increase number of instances in EC2 web server and application server from 6 to 12 to increase maximum performance
- Upgrade instance type in both RDS master and read replica to increase performance in DB 
- Increase number of nodes in RDS master and replica from 1 to 2

pulic link: https://calculator.aws/#/estimate?id=241074a61dbc6bbc92dd746acab5ab77a21c6e32
